What does the abbreviation 'AC' stand for in a medical prescription?,Before meal.
What does the abbreviation 'PC' stand for in a medical prescription?,After meal.
Which medical abbreviation is noted as a 'Dangerous abbreviation' meaning 'as needed'?,PRN.
The abbreviation 'HS - BT' indicates that a medication should be taken _____.,At bedtime.
What are the meanings of the abbreviations 'PO' and 'PR' regarding administration routes?,By oral and By rectum.
"What is the meaning of the frequency abbreviations 'BID', 'TID', and 'QID'?","Twice a day, Thrice a day, and Four times a day."
What does the abbreviation 'QOD' stand for?,Every other day.
What does the abbreviation 'Q4H' indicate?,Every 4 hours.
The abbreviations 'BBF' and 'BD' stand for which meal-related timings?,Before breakfast and Before dinner.
What is the metric equivalent of one teaspoonful (TSF)?,$5 ml$.
Which antidote is used for toxicity caused by Anticholinergics like Atropine?,Physostigmine.
What is the specific antidote for Isoniazid (INH) induced toxicity?,Vitamin $B_{6}$ (Pyridoxine).
Which agent is the antidote for Valproic acid toxicity?,L-carnitine.
What is the antidote for Methotrexate (MTX)?,Leucovorin.
Which agent is used to treat Methemoglobinemia induced by Nitrites or Nitrates?,Methylene blue.
What are the two specific antidotes listed for Digoxin toxicity?,Digibind and Digifab.
Which hormone is used as an antidote for Beta blocker overdose?,Glucagon.
"What is the primary antidote for Opioid overdose (Morphine, Heroin, Fentanyl)?",Naloxone.
Which agent acts as the antidote for Benzodiazepines like Diazepam?,Flumazenil.
What is the antidote for Tricyclic Antidepressant (TCA) toxicity?,Sodium bicarbonate.
Which vitamin is the antidote for Warfarin?,Vitamin $K_{1}$ (Phyto-menadione).
What is the specific antidote for Heparin?,Protamine sulfate.
Which specific agent is the antidote for the anticoagulant Dabigatran?,Idarucizumab.
Which two agents can be used as antidotes for Thrombolytics like Streptokinase?,Aminocaproic acid and Tranexamic acid.
What is the treatment sequence for poisoning by Nerve gases or Organophosphorus insecticides?,Atropine followed by Pralidoxime (2-PAM).
What are the components of the 'Cyanide antidote kit' listed in the source?,"Sodium thiosulfate, Amyl nitrite, and Na nitrite."
What is the specific antidote for Methanol and Ethylene glycol poisoning?,Ethanol or Fomepizole.
Which chelating agent is the antidote for Iron (Fe) toxicity?,Deferoxamine.
What is the antidote for Thallium poisoning?,Prussian blue.
Which agent is the antidote for Paracetamol (Acetaminophen) overdose?,N-Acetyl cysteine (NAC).
What treatment is used for Aspirin (Salicylic acid) toxicity?,Alkalinization with $NaHCO_{3}$.
What is the antidote for Sulfonylurea-induced hypoglycemia?,Octreotide.
Which medication is used to control high phosphorus levels in patients with chronic kidney disease on dialysis?,Sevelamer.
List the 10 essential amino acids using the provided mnemonic 'I Love Lucy...'.,"Isoleucine, Lysine, Leucine, Valine, Methionine, Phenylalanine, Tryptophan, Threonine, Histidine, Arginine."
Which two amino acids are involved in conjugation in the liver?,Glycine and Taurine.
What four amino acids are considered the best for producing keratin in hair and nails?,"Cysteine, Lysine, Arginine, and Methionine."
List the two essential fatty acids provided in the source.,Linolenic acid and Linoleic acid.
"Classify Glucose, Galactose, and Fructose.",Monosaccharides.
"Classify Sucrose, Maltose, and Lactose.",Disaccharides.
"Classify Starch, Glycogen, and Cellulose.",Polysaccharides.
"In the classification of adverse drug reactions, what does Type A (Augmented) signify?","Common, predictable, and dose-related reactions related to pharmacological action."
How is a Type B (Bizarre) adverse drug reaction managed?,Withhold the drug and avoid it in the future.
What is the primary feature of Type C (Chronic) adverse drug reactions?,They are related to cumulative dose and time.
Give three examples of Type D (Delayed) adverse drug reactions.,"Teratogenicity, Carcinogenesis, and Tardive dyskinesia."
Type E adverse drug reactions occur soon after the _____ of a drug.,Withdrawal.
Type F (Failure) adverse drug reactions are often caused by _____.,Drug interactions.
"In the AHA Heart Failure classification, what defines Stage C?",Structural heart disease with symptoms.
"In the NYHA classification, how is Class 4 heart failure defined regarding exercise?",Symptoms present with no exercise (at rest).
What is the equivalent dose of Prednisone compared to $25 mg$ of Cortisone?,$5 mg$.
Which two glucocorticoids have the lowest equivalent dose ($0.75 mg$)?,Betamethasone and Dexamethasone.
What is the equivalent dose of Methylprednisolone compared to $20 mg$ of Hydrocortisone?,$4 mg$.
What is the definition of a primary drug information resource?,First-hand information consisting of an author's own account of original research.
Provide three examples of secondary drug information resources.,"Medline (PubMed), Google Scholar, and Iowa Drug Information Service (IDIS)."
What is the main disadvantage of tertiary drug information resources?,Lag time between publication and the inclusion of information.
Which textbook is the gold standard for adverse drug reactions?,Meyler's Side Effects of Drugs.
Which resource should be consulted for IV medication compatibility and stability?,Handbook of Injectable Drugs (Trissel's).
What is the preferred resource for identifying drugs manufactured in foreign countries?,Martindale: The Complete Drug Reference.
Which database is used for the identification of unknown pills based on imprint codes?,Identidex or Lexi-drug ID.
What does the FDA Orange Book provide?,A list of approved drug products and their therapeutic equivalence/interchangeability.
Which CDC resource provides information on epidemiology and vaccine-preventable diseases?,Pink Book.
What information is found in the FDA Purple Book?,Lists of biological drug products and biosimilar indicators.
"In Pharmacy (Micromedex), what is the primary purpose of the Red Book?",Providing drug pricing information.
Which resource is used for health information regarding international travel and vaccinations?,CDC Yellow Book.
Which three medications are preferred for treating hypertension during pregnancy?,"Methyldopa, Labetalol, and Hydralazine."
What is the drug of choice for gestational diabetes?,Insulin.
Why is Warfarin contraindicated (Category X) in pregnancy?,It causes cranial facial abnormalities and nasal bone hypoplasia.
Which antibiotic is recommended for a UTI in a pregnant patient with G6PD deficiency?,Cefuroxime.
What is the maintenance dose range for Thyroid Hormone in pregnancy?,$1.0 - 2.0 \mu g/kg/day$.
What is the ethical principle of Autonomy?,The right of individuals to self-rule and make decisions about their own bodies.
Define the ethical principle of Beneficence.,The duty to do good and benefit the patient.
What does the ethical principle of Non-maleficence entail?,The prevention of harm and the removal of harmful conditions.
What is the difference between Ethics and Law according to the source?,"Ethics are unenforceable norms and values, while Laws are enforceable standards behavior."
What is the 'Harm Principle' in the context of autonomy exceptions?,Intervening when an individual's decision will cause harm to themselves.
Define Veracity in a professional medical context.,The requirement to be honest and tell the truth to patients.
What is the difference between Covenantal and Contractual fidelity?,"Covenantal is a spiritual/intimate commitment, while Contractual is a binding agreement like a business arrangement."
What are 'Macro ethical issues'?,"Socially controversial issues not specific to one pharmacist, such as abortion or assisted suicide."
What is the primary role of an Institutional Review Board (IRB)?,To protect the rights and welfare of human subjects in clinical experiments.
How long does the DEA require pharmacies to keep controlled substance records?,At least two years.
Define a 'Hapten' in immunology.,A small molecule that induces an immune response only when coupled to a carrier protein.
List three components of the body's '1st line defense' in immunity.,"Skin, Cilia, and Mucous membranes."
Where does T-cell maturation occur?,Bone marrow (origin) and Thymus gland (maturation/storage).
Which immunoglobulin is the only one that can pass through the placenta?,IgG.
Which immunoglobulin is found in high concentrations in breast milk (colostrum)?,IgA.
Which immunoglobulin is the first to respond during a primary immune response?,IgM.
Type 1 hypersensitivity reactions are mediated by which humoral component?,IgE.
What is an example of a Type 4 (Delayed) hypersensitivity reaction?,Graft rejection or Contact Dermatitis.
What are the five levels of Maslow's Hierarchy of Needs from bottom to top?,"Physiological, Safety, Love/Belonging, Esteem, and Self-Actualization."
"In medication errors, what is an 'Omission error'?",When a patient does not receive a scheduled dose of medication.
What is the most common error in the medication use process?,Wrong time error.
Define 'Medication Reconciliation'.,The process of comparing a patient's medication orders to all medications they have been taking.
"In the NCC MERP index, what does Category B signify?",An error occurred but did not reach the patient.
Which NCC MERP category describes an error that reached the patient and caused temporary harm requiring intervention?,Category E.
Compare the peptidoglycan layer thickness in Gram (+) vs Gram (-) bacteria.,Gram (+) is thick ($20-80 nm$) while Gram (-) is thin ($2-3 nm$).
Which type of bacteria contains Lipopolysaccharides and an outer membrane?,Gram (-) bacteria.
"What color do Gram (+) bacteria appear after staining, and why?","Dark violet, because their thick peptidoglycan retains the crystal violet dye."
Describe the shape of 'Vibrio' bacteria.,Comma-like shape or curved rods.
Which specific bacterium is arranged in 'grape-like clusters'?,Staphylococcus aureus.
Classify bacteria that grow best between $25^{\circ}C$ and $40^{\circ}C$.,Mesophiles.
What are 'Obligate anaerobes'?,Bacteria that grow only in the absence of $O_{2}$.
Which test distinguishes Staphylococcus from Streptococcus?,"The Catalase test (Staph is +ve, Strep is -ve)."
Which test differentiates Staphylococcus aureus from other Staphylococci?,The Coagulase test (S. aureus is +ve).
What are the three types of hemolysis used to classify Streptococcus?,"Alpha (partial), Beta (complete), and Gamma (none)."
"Using the 'SHINE K' mnemonic, list the encapsulated bacteria.","S. Pneumonia, S. group B, Salmonella typhi, H. influenza, Neisseria meningitides, E. Coli, Klebsiella."
"In the Kirby-Bauer Disk Diffusion Method, what does a larger circle (zone of inhibition) indicate?",Greater sensitivity/susceptibility of the bacteria to the antibiotic.
What is the pathogen responsible for the Plague?,Yersinia pestis.
Define 'Direct non-medical costs' in pharmacoeconomics and give an example.,"Patient expenses not for medical care, such as transportation or child care."
What are 'Intangible costs' in healthcare?,"Non-monetary costs like pain, suffering, anxiety, and grief."
Define 'Opportunity cost' in an economic context.,The economic benefit forgone when choosing one therapy over the next best alternative.
Which pharmacoeconomic analysis model measures outcomes in monetary units (dollars)?,Cost Benefit Analysis (CBA).
What is the outcome measurement unit for Cost Utility Analysis (CUA)?,Quality Adjusted Life Year (QALY).
Under what condition can a Cost Minimization Analysis (CMA) be performed?,When two interventions are proven to have equivalent therapeutic outcomes.
What formula is used to calculate the Incremental Cost-Effectiveness Ratio (ICER)?,$\frac{Cost A - Cost B}{Effect A - Effect B}$.